id,name,price_range,cuisine1,cuisine2,cuisine3,rating
1,Austin's BBQ and Oyster Bar,2,BBQ,Burger,Seafood,3.3
2,BJ's Country Buffet,1,American,BBQ,,3.3
3,Cookie Shoppe,1,,,,3.4
4,El Vaquero Mexican Restaurant,1,Mexican,,,3.4
5,Elements Coffee Co - Northwest,1,Coffee and Tea,Sandwich,,3.4
6,Pearly's Famous Country Cookng,1,,,,3.4
7,Chick-fil-A,1,Fast Food,,,3.5
8,Guang Zhou Chinese Restaurant,1,Asian,Chinese,Vegetarian,3.9
9,Harvest Moon,2,Pizza,Bar Food,Sandwich,3.7
10,Henry Campbell's Steakhouse,4,Steak,Tapas,Bar Food,3.5
11,Hong Kong Cafe,2,Chinese,Seafood,Vegetarian,3.6
12,House of China Restaurant II,1,Chinese,,,3.8
13,Jimmie's Hot Dogs,1,,,,3.9
14,Locos Grill & Pub,2,American,Burger,Sandwich,3.5
15,Longhorn Steakhouse,2,American,Steak,,3.5
16,Mikata Japanese Steakhouse,3,Japanese,Steak,Sushi,3.6
17,Shogun Japanese Steak House,3,Japanese,Steak,Sushi,3.5
18,The Catch Seafood Room & Oyster Bar,3,Seafood,Tapas,Bar Food,3.8
19,Villa Gargano,1,Italian,Pizza,,3.7
20,3 Squares Diner,1,American,Breakfast,Diner,3.4
21,Last Resort Grill,3,American,Southern,Southwestern,4.5
22,Mama's Boy Restaurant,1,Southern,,,4.5
23,Sr. Sol 1,1,Mexican,,,4.6
24,Choo Choo Eastside,1,Japanese,Korean,,3.9
25,The Grill,1,Breakfast,Burger,Sandwich,3.7
26,Big City Bread Cafe,1,Breakfast,Sandwich,,4.3
27,Clocked,1,American,Burger,Sandwich,4.2
28,DePalma's Italian Cafe - Downtown,2,American,Italian,Pizza,4
29,DePalma's Italian Cafe - East Side,2,American,Italian,Pizza,4.1
30,Five & Ten,3,American,,,4.3
31,Grit,1,International,Southern,Vegetarian,4.2
32,Ike & Jane,1,Sandwich,,,4.1
33,La Dolce Vita Ristorante,3,Italian,,,4.1
34,Shokitini,2,Asian,Japanese,Sushi,4.2
35,Taqueria Del Sol,1,Mexican,Spanish,,4.1
36,The National,3,International,Southern,,4.1
37,The Royal Peasant,1,Bar Food,,,4.4
38,Transmetropolitan,1,Italian,Pizza,Sandwich,4.4
39,Trappeze Pub,2,Burger,Bar Food,,4.2
40,Viva! Argentine Cuisine,1,Desserts,Latin American,Argentine,4.1
41,Miyabi Kyoto Japanese Steak House,3,Chinese,Steak,,4.6
